序号,区域,国家,省份/州,城市,景区名称(中),景区名称(英),大类,细分类型,中国签证政策,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,适合儿童年龄段,儿童出行备注,建议游览时长,日均预算,预算货币,交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化/生态/独特价值,基础设施与配套,性价比,旅游安全度,华人安全度,口碑方差,备注,综合加权满意度,特色活动与玩法,数据来源
1,东南欧,保加利亚,,里拉,里拉修道院,Rila Monastery,景区,宗教文化,申根签证,9.0,5.0,5.0,8.0,8.0,6岁以上,历史类年龄太小兴趣低,4,300,RMB,5.0,6.0,夏秋,5-10月,9.5,7.0,9.5,7.5,7.5,0.9,保加利亚里拉宗教文化,7.5,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + europe_scenic_report_2026.xlsx
2,东南欧,保加利亚,,索非亚,涅夫斯基大教堂,Alexander Nevsky Cathedral,景区,宗教建筑,申根签证,8.5,5.0,5.0,8.0,8.0,6岁以上,建议学龄,2,300,RMB,6.0,7.0,夏,5-9月,8.5,7.5,9.0,7.5,7.5,1.8,保加利亚索非亚宗教建筑,7.47,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + europe_scenic_report_2026.xlsx
3,东南欧,克罗地亚,,杜布罗夫尼克,杜布罗夫尼克老城,Dubrovnik Old Town,景区,历史城墙,申根签证,9.5,5.0,5.0,10.0,8.0,6岁以上,历史类年龄太小兴趣低,4,800,RMB,6.0,6.0,夏秋,5-10月,10.0,8.5,7.5,8.2,7.7,1.1,权力的游戏君临城，亚得里亚海明珠,7.97,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + europe_scenic_report_2026.xlsx
4,东南欧,克罗地亚,,十六湖,普利特维采湖群,Plitvice Lakes NP,景区,自然湖瀑,申根签证,9.5,6.0,4.0,9.0,8.0,8岁以上,有体力要求,5,600,RMB,5.0,6.0,春夏秋,5-10月,10.0,8.0,8.0,8.2,7.7,1.5,克罗地亚十六湖自然湖瀑,7.8,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + europe_scenic_report_2026.xlsx
5,东南欧,克罗地亚,,斯普利特,戴克里先宫·老城,"Diocletian's Palace, Split",景区,历史建筑,申根签证,8.8,5.0,5.0,9.0,8.0,6岁以上,历史类年龄太小兴趣低,4,700,RMB,7.0,6.0,夏,5-10月,9.0,8.0,7.5,8.2,7.7,1.9,克罗地亚斯普利特历史建筑,7.73,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + europe_scenic_report_2026.xlsx
6,东南欧,克罗地亚,,赫瓦尔,赫瓦尔岛,Hvar Island,景区,海岛薰衣草,申根签证,8.8,5.0,4.0,9.0,7.0,8岁以上,有体力要求,4,800,RMB,5.0,5.0,夏,6-9月,7.5,7.5,7.5,8.2,7.7,1.8,克罗地亚赫瓦尔海岛薰衣草,7.2,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + europe_scenic_report_2026.xlsx
7,东南欧,北马其顿,,奥赫里德,奥赫里德湖·老城,Lake Ohrid,景区,自然文化,持申根可免签,9.0,6.0,5.0,9.0,8.0,6岁以上,历史类年龄太小兴趣低,4,250,RMB,5.0,6.0,夏,6-9月,9.5,7.0,9.5,8.0,7.5,1.4,北马其顿奥赫里德自然文化,7.7,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + europe_scenic_report_2026.xlsx
8,东南欧,北马其顿,,斯科普里,斯科普里石桥·老城,Skopje Old Town,景区,历史文化,持申根可免签,8.0,5.0,5.0,7.0,8.0,6岁以上,历史类年龄太小兴趣低,3,250,RMB,6.0,7.0,春秋,4-6月/9-10月,7.5,7.0,9.0,8.0,7.5,1.5,北马其顿斯科普里历史文化,7.22,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + europe_scenic_report_2026.xlsx
9,东南欧,塞尔维亚,,贝尔格莱德,贝尔格莱德要塞·圣萨瓦教堂,Belgrade Fortress & St Sava,景区,历史文化,互免签证,8.5,6.0,6.0,8.0,9.0,6岁以上,需能独立行走,4,400,RMB,7.0,7.0,春夏秋,4-10月,8.5,8.0,9.0,7.9,7.9,1.6,塞尔维亚贝尔格莱德历史文化,7.86,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + europe_scenic_report_2026.xlsx
10,东南欧,塞尔维亚,,诺维萨德,彼得罗瓦拉丁要塞,Petrovaradin Fortress,景区,历史要塞,互免签证,8.3,5.0,5.0,8.0,8.0,6岁以上,历史类年龄太小兴趣低,3,350,RMB,6.0,7.0,夏,6-9月,8.0,7.0,9.0,7.9,7.9,2.0,塞尔维亚诺维萨德历史要塞,7.43,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + europe_scenic_report_2026.xlsx
