序号,区域,国家,省份/州,城市,景区名称(中),景区名称(英),大类,细分类型,中国签证政策,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,适合儿童年龄段,儿童出行备注,建议游览时长,日均预算,预算货币,交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化/生态/独特价值,基础设施与配套,性价比,旅游安全度,华人安全度,口碑方差,备注,综合加权满意度,特色活动与玩法,数据来源
1,东南亚,印度尼西亚,,巴厘岛,AYANA度假村,,度假酒店,悬崖度假,,9.2,7.0,6.0,10.0,6.0,6-16岁,,48,70,USD,7.0,8.0,全年,4-10月,8.0,9.5,6.5,7.5,7.0,1.5,印度尼西亚巴厘岛悬崖度假,7.85,Rock Bar·悬崖餐厅·12泳池·SPA·浮潜,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
2,东南亚,印度尼西亚,,巴厘岛,乌布虹夕诺雅,,度假酒店,丛林度假,,9.5,5.0,5.0,10.0,7.0,8-18岁,,48,70,USD,6.0,8.0,全年,4-10月,9.0,9.5,5.5,7.5,7.0,1.4,印度尼西亚巴厘岛丛林度假,7.71,河谷泳池·巴厘SPA·瑜伽·稻田漫步·寺庙拜访·烹饪课,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
3,东南亚,印度尼西亚,,巴厘岛,Waterbom水上乐园,,主题乐园,水上乐园,,8.8,9.0,5.0,8.0,6.0,4-16岁,,6,70,USD,8.0,8.0,全年,4-10月,6.0,8.5,8.5,7.5,7.0,2.6,印度尼西亚巴厘岛水上乐园,7.62,极速滑道·懒人河·FlowRider冲浪·Gazebo,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
4,东南亚,印度尼西亚,,巴厘岛,巴厘野生动物园,,生态乐园,动物园,,8.5,9.0,6.0,7.5,6.0,2-12岁,,5,70,USD,7.0,8.0,全年,4-10月,7.5,8.0,8.0,7.5,7.0,1.8,印度尼西亚巴厘岛动物园,7.58,夜间动物园·大象·水乐园·狮子餐厅,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
5,东南亚,印度尼西亚,,龙目岛,龙目岛诺富特度假酒店,,度假酒店,海岛度假,,8.5,7.0,5.0,9.5,7.0,4-14岁,,48,120,USD,5.0,7.0,旱季,4-10月,7.5,8.0,8.0,7.5,7.0,2.4,印度尼西亚龙目岛海岛度假,7.41,浮潜·冲浪·SPA·吉利群岛跳岛·林贾尼火山观景,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
6,南亚(免签),斯里兰卡,,加勒,安缦加勒酒店,,度假酒店,殖民奢华,,9.5,5.0,6.0,10.0,7.0,全年龄,,48,500,USD,6.0,6.0,冬春,12-3月,9.0,9.5,5.5,7.0,6.5,1.2,斯里兰卡加勒殖民奢华,7.57,古堡·泳池·SPA·海龟孵化·高跷钓鱼·乌纳瓦图纳,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
7,南亚(免签),斯里兰卡,,锡吉里耶,Heritance Kandalama,,度假酒店,丛林生态,,9.0,6.0,5.0,9.0,7.0,6-16岁,,48,150,USD,5.0,7.0,冬春,12-3月,8.5,8.0,7.5,7.0,6.5,1.7,斯里兰卡锡吉里耶丛林生态,7.33,丛林酒店·狮子岩·猴群·鸟类·无边泳池·Ayurveda SPA,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
8,东南亚,新加坡,,新加坡,滨海湾花园+金沙,,度假综合体,都市度假,,9.2,9.0,8.0,9.5,9.0,全年龄,,8,200,USD,10.0,8.0,全年,全年,8.5,10.0,6.5,9.5,9.5,0.8,未来主义超级树和花穹，新加坡名片,9.03,超级树灯光秀·云雾林·花穹·无边泳池·购物·赌场·艺术科学博物馆,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
9,东南亚,新加坡,,新加坡,环球影城(圣淘沙),,主题乐园,环球影城,,9.5,9.5,6.0,9.0,7.0,4-18岁,,10,180,USD,10.0,8.0,全年,2-4月,8.0,10.0,7.0,9.5,9.5,0.9,全球最小但精华最集中的环球影城,8.83,变形金刚·木乃伊·侏罗纪·史瑞克4D·太空堡垒,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
10,东南亚,新加坡,,新加坡,S.E.A.海洋馆,,主题乐园,海洋主题,,9.0,9.5,8.0,8.0,7.0,2-14岁,,4,180,USD,10.0,8.0,全年,全年,8.0,10.0,7.0,9.5,9.5,0.7,新加坡新加坡海洋主题,8.79,最大水族窗·10万海洋生物·鲨鱼·水母·触摸池,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
