序号,国家,区域,城市,名称,大类,细分类型,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,建议时长(h),日均预算,货币,交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化/生态/独特价值,基础设施与配套,性价比,旅游安全度,华人安全度,综合加权满意度,特色活动与玩法
1,中国,国内,上海,上海迪士尼,主题乐园,迪士尼,9.5,10,6,9,7,12,800,RMB,10,8,全年,3-5月/9-11月,8,10,6,9.5,10,8.79,创极速光轮·加勒比海盗·翱翔·花车巡游·烟花·疯狂动物城
2,中国,国内,丽江,丽江古城·束河,度假小镇,古镇休闲,9,7,7,9.5,9,24,500,RMB,8,8,全年,3-5月/9-11月,9.5,8,8,9.5,10,8.7,古城漫步·酒吧街·纳西古乐·手鼓·骑马拉市海
3,中国,国内,广州,长隆野生动物世界,生态乐园,动物园,9.5,10,7,8,6,8,500,RMB,9.5,8,全年,3-5月/9-11月,8,9.5,7,9.5,10,8.69,自驾观赏·缆车·大熊猫三胞胎·白虎·考拉·长颈鹿喂食
4,中国,国内,北京,北京环球度假区,主题乐园,环球影城,9.5,9.5,5,9,7,12,800,RMB,10,7,春秋,4-5月/9-10月,8,10,6,9.5,10,8.66,哈利波特·变形金刚·侏罗纪·功夫熊猫·小黄人·霸天虎
5,中国,国内,珠海,长隆海洋王国,主题乐园,海洋主题,9.5,10,6,8.5,6,10,700,RMB,8,8,全年,10-5月,8,10,7,9.5,10,8.6,鲸鲨馆·飞越雨林·5D影院·烟花横琴海·企鹅馆·海豚剧场
6,中国,国内,三亚,亚特兰蒂斯酒店,度假酒店,海岛度假,9.2,9.5,7,9.5,6,48,1800,RMB,8,8,冬春,11-4月,7,10,6,9.5,10,8.5,水世界·失落的空间水族馆·海豚湾·C秀演出·私人沙滩·水下套房·SPA
7,中国,国内,成都,青城山康养度假,度假康养,山水康养,8.8,6,8,8.5,8,8,500,RMB,8,8,春秋,4-5月/9-10月,9.5,8,7.5,9.5,10,8.5,道教养生·森林徒步·温泉·品茶·太极·熊猫谷
8,中国,国内,杭州,宋城景区,主题乐园,文化演艺,8.8,8,7,8.5,7,6,350,RMB,9,8,全年,4-10月,8.5,8.5,7,9.5,10,8.49,千古情演出·鬼屋·泼水·丛林迷宫·穿越快闪
9,中国,国内,三亚,亚龙湾美高梅,度假酒店,海岛度假,8.8,8,8,9.5,7,48,1200,RMB,8,8,冬春,11-4月,7,9.5,6.5,9.5,10,8.46,无边泳池·私人沙滩·潜水·SPA·高尔夫·瑜伽·儿童乐园
10,中国,国内,三亚,亚龙湾森林公园,生态乐园,热带生态,8.8,7,5,9.5,8,6,200,RMB,8,8,冬春,10-4月,8.5,8,7.5,9.5,10,8.35,玻璃栈道·索桥·鸟巢度假·全海湾观景·兰花谷
11,中国,国内,长沙,铜官窑古镇,度假小镇,文化体验,8,8,7,8,7,8,300,RMB,9,8,春秋,4-5月/9-11月,8.5,8,7.5,9.5,10,8.34,黑石号剧场·密室·陶瓷体验·飞行影院·古镇夜游
12,中国,国内,广州,长隆欢乐世界,主题乐园,综合游乐,9.2,9.5,4,8,6,10,500,RMB,9.5,8,全年,3-5月/9-11月,7,9.5,7,9.5,10,8.33,垂直过山车·十环过山车·大摆锤·4D影院·国际大马戏
13,中国,国内,三亚,三亚Club Med,度假酒店,一价全包,8.8,9,7,9.5,5,48,1500,RMB,8,8,冬春,11-4月,7,9.5,6,9.5,10,8.31,空中飞人·攀岩·射箭·帆船·浮潜·儿童俱乐部·晚间秀
