序号,省份,城市,景区名称,景区类型,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,建议游览时长(h),日均酒景预算(元),交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化生态独特价值,基础设施与配套,性价比,综合加权满意度
1,北京,东城区,故宫博物院,历史文化,9.35,7.2,7.4,8.3,8.55,4,549,9.6,7.0,春秋,4-5月/9-10月,10.0,8.7,8.4,8.69
2,北京,海淀区,颐和园,皇家园林,9.25,7.7,7.1,8.3,7.9,4,519,9.6,7.0,春秋夏,4-10月,9.5,8.7,8.65,8.59
3,北京,延庆区/怀柔区,八达岭-慕田峪长城旅游区,历史文化,8.9,6.7,6.1,7.8,8.05,5,619,8.6,7.0,春秋,4-5月/9-10月,10.0,8.2,6.75,8.08
4,北京,东城区,天坛公园,历史文化,8.6,7.2,7.9,7.8,8.4,3,424,9.6,8.0,四季,3-11月,9.0,8.7,9.45,8.55
5,北京,昌平区,明十三陵景区,历史文化,8.35,6.7,6.9,7.3,7.55,4,494,8.6,7.0,春秋,4-5月/9-10月,9.0,8.2,8.0,7.94
6,北京,西城区,恭王府景区,历史文化,8.45,6.7,7.6,7.8,8.05,2,494,9.6,8.0,四季,3-11月,8.5,8.45,8.2,8.22
7,北京,朝阳区,奥林匹克公园,现代景观,8.3,8.3,7.4,7.3,7.4,3,474,9.6,8.0,四季,5-10月,7.5,8.85,8.95,8.18
8,北京,海淀区,圆明园景区,历史遗址,8.5,7.2,7.9,7.8,8.05,3,424,9.6,7.0,春夏秋,4-10月,9.0,8.45,9.2,8.41
9,北京,通州区,大运河文化旅游景区,文化旅游,8.1,7.2,7.6,7.3,7.55,3,494,9.1,7.0,春秋,4-5月/9-10月,8.0,8.05,8.2,7.9
10,天津,南开区,天津古文化街旅游区,历史文化,8.2,7.2,7.9,7.3,8.05,3,374,9.1,8.0,四季,3-11月,8.0,8.2,9.2,8.13
11,天津,蓟州区,盘山风景名胜区,自然山岳,8.55,6.7,5.7,8.2,7.4,5,444,8.1,7.0,春秋,4-5月/9-10月,8.0,7.95,8.05,7.72
12,河北,秦皇岛市,山海关景区,历史文化,8.45,7.2,6.2,8.5,7.8,4,466,7.9,7.0,夏秋,5-10月,9.0,7.75,7.5,7.91
13,河北,承德市,承德避暑山庄及周围寺庙,历史文化,8.6,7.2,7.0,8.3,7.95,6,441,7.4,6.0,夏秋,6-9月,9.5,7.75,8.6,8.06
14,河北,保定市,安新白洋淀景区,自然生态,8.2,7.2,6.6,7.7,6.8,5,391,7.4,5.0,夏,6-8月,8.0,7.25,8.15,7.44
15,河北,保定市,野三坡风景名胜区,自然山水,8.35,7.2,6.1,8.2,7.3,5,416,7.4,6.0,夏秋,5-10月,8.0,7.5,8.4,7.62
16,河北,石家庄市,西柏坡景区,红色旅游,8.35,6.7,7.6,7.3,7.95,3,374,7.6,8.0,四季,4-10月,9.0,7.85,8.95,8.02
17,河北,邯郸市,娲皇宫景区,历史文化,8.2,6.7,6.6,7.3,7.45,3,366,7.4,7.0,春秋,4-5月/9-10月,8.5,7.25,8.6,7.63
18,河北,保定市,清西陵景区,历史文化,8.1,6.2,6.9,7.3,7.45,4,391,6.9,7.0,春秋,4-5月/9-10月,8.5,7.25,8.6,7.55
19,河北,邢台市,崆山白云洞景区,自然溶洞,7.8,6.0,5.0,7.0,7.0,3,300,6.0,8.0,四季,5-10月,7.5,7.0,8.0,6.99
20,河北,唐山市,清东陵景区,历史文化,8.25,6.2,6.9,7.3,7.45,4,391,7.4,7.0,春秋,4-5月/9-10月,9.0,7.5,8.6,7.73
21,河北,石家庄市,正定古城景区,历史文化,8.5,7.0,7.0,8.0,8.0,4,300,8.0,8.0,四季,3-11月,8.5,8.0,9.0,8.08
22,河北,保定市,白石山景区,自然山岳,8.45,6.2,5.2,8.2,7.3,5,466,7.4,6.0,夏秋,5-10月,8.0,7.5,7.45,7.39
23,河北,衡水市,衡水湖旅游景区,自然生态,8.2,7.6,7.4,8.0,7.3,4,416,7.4,6.0,春夏秋,4-10月,7.5,7.5,7.85,7.59
24,山西,大同市,云冈石窟,历史文化,8.95,7.2,7.1,8.3,8.45,3,416,7.4,7.0,春秋,5-10月,10.0,8.0,8.95,8.35
25,山西,忻州市,五台山风景名胜区,宗教文化,8.9,6.2,5.7,8.2,7.7,8,496,6.9,5.0,夏,6-8月,9.5,7.0,7.75,7.63
26,山西,晋中市,平遥古城,历史文化,9.1,7.6,7.4,8.6,8.45,6,541,7.9,7.0,春秋,4-5月/9-10月,9.5,7.75,7.4,8.26
