序号,国家,区域,城市,景区名称,景区类型,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,建议游览时长(h),日均酒景预算(USD),交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化/生态/独特价值,基础设施与配套,性价比,旅游安全度,华人安全度,综合加权满意度
1,日本,东亚,大阪,大阪城与道顿堀,历史美食,9,9,8,8.5,9,5,180,10,8,全年,3-5月/9-11月,8.5,9.5,7.5,9.5,9.5,8.92
2,日本,东亚,东京,浅草寺与东京塔,历史文化,9,8,8,8.5,9,4,200,10,8,全年,3-5月/10-11月,9,10,6,9.5,9.5,8.87
3,日本,东亚,京都,清水寺·金阁寺·伏见稻荷,历史文化,9.5,7,7,9.5,9,8,220,9,7,春秋,3-5月/10-11月,10,9.5,6,9.5,9.5,8.85
4,日本,东亚,奈良,奈良公园与东大寺,历史文化,9,9,7,8.5,8.5,5,150,8,8,春秋,3-5月/10-11月,9.5,8.5,7.5,9.5,9.5,8.7
5,日本,东亚,广岛,严岛神社(海上�的鸟居),历史文化,9.2,7,7,9,8.5,5,160,8,7,全年,3-5月/10-11月,10,9,7,9.5,9.5,8.68
6,韩国,东亚,首尔,景福宫与北村韩屋村,历史文化,8.8,7,7,8.5,9,4,150,10,8,春秋,3-5月/9-11月,9,9.5,7.5,9,9,8.68
7,韩国,东亚,首尔,N首尔塔与明洞,都市地标,8.5,7,7,9,9,4,130,10,8,全年,3-5月/9-11月,7.5,9.5,7.5,9,9,8.49
8,日本,东亚,箱根,箱根温泉与芦之湖,温泉休闲,9,7,8,9.5,8,6,250,8,7,秋冬,10-2月,8.5,9,6,9.5,9.5,8.47
9,韩国,东亚,釜山,海云台与甘川文化村,海滨文化,8.5,7,6,9,8.5,5,130,9,7,夏秋,6-10月,8,9,7.5,9,9,8.29
10,日本,东亚,�的矢湾,伊势神宫,宗教文化,8.8,5,7,8,8.5,4,170,7,8,全年,10-11月/4-5月,9.5,8.5,7,9.5,9.5,8.28
11,日本,东亚,富士山,富士山与河口湖,自然文化,9.5,7,4,9.5,8,6,200,7,5,夏秋,7-8月(登山)/11-2月(观景),10,8,6.5,9.5,9.5,8.25
12,日本,东亚,冲绳,美丽海水族馆与万座毛,海岛休闲,8.8,9,7,9,7,6,200,7,8,全年,3-6月/9-11月,8,9,6.5,9,9,8.23
13,韩国,东亚,济州岛,汉拿山与城山日出峰,自然文化,9,8,5,9,8,8,160,7,7,春秋,4-6月/9-11月,9.5,8.5,7,9,8.5,8.23
14,日本,东亚,北海道,富良野·美瑛花田,自然风光,9.2,8,6,9.5,8,6,180,6,4,夏,6-8月,9,8,6.5,9.5,9.5,8.15
